gene,Unnamed: 0,selection_ranking,selection,AW/Par,pca_gene,tree_gene,list_marker,marker,spe_type_Barbry,max_celltype_barbry,spe_type_Meyer,max_celltype_meyer
HLA-DRA,0,1,True,shared,True,"Myeloid,Mast cells,Pericytes,Deuterosomal,Mucous SMG",none,Myeloid,equirep,Dendritic,equirep,DC_1
AREG,1,1,True,shared,True,"Club,Mast cells",none,Mast cells,multi-spec,Monocyte,low,DC_plasmacytoid
IFITM1,2,1,True,shared,True,"(Vascular) Endothelial cell,Lymphatic EC",none,(Vascular) Endothelial cell,low,Endothelial,low,NK
CST3,3,1,True,shared,True,"Lymphocyte,Myeloid,Chondrocytes",none,"Chondrocytes,Myeloid",equirep,Dendritic,high,DC_1
S100A4,4,1,True,shared,True,"(Vascular) Endothelial cell,Basal,Myeloid",none,Myeloid,equirep,Secretory N,equirep,Monocyte
S100A9,5,1,True,shared,True,Myeloid,none,Myeloid,multi-spec,Suprabasal N,multi-spec,Basal
VIM,6,1,True,shared,True,"Basal,Club,Lymphatic EC",none,Lymphatic EC,equirep,Endothelial,equirep,Macrophage_Dividing
MT1A,7,1,True,shared,True,Pericytes,none,Pericytes,multi-spec,Pericyte,multi-spec,Fibroblast
TPSAB1,8,1,True,shared,True,Mast cells,none,Mast cells,unique,Mast cells,unique,Mast_cells
IGFBP7,9,1,True,shared,True,"Lymphatic EC,Myeloid,Pericytes,Duct SMG,Goblet",none,"Lymphatic EC,Pericytes",low,Pericyte,multi-spec,Muscle_cells
RNASE1,10,1,True,shared,True,"(Vascular) Endothelial cell,Basal,Club,Lymphocyte,Duct SMG",none,"(Vascular) Endothelial cell,Club,Duct SMG",multi-spec,AT1,multi-spec,Macrophage_MARCOneg
CXCR4,11,1,True,shared,True,"Lymphocyte,Mast cells",none,Lymphocyte,multi-spec,Monocyte,equirep,T_CD4
RPS17,12,1,True,shared,True,Club,none,Club,,,,B_cell_naive
FOS,13,1,True,shared,True,Basal,none,Basal,multi-spec,Monocyte,equirep,DC_Monocyte_Dividing
GNLY,14,1,True,shared,True,Lymphocyte,none,Lymphocyte,unique,LT/NK,multi-spec,NK
TPSB2,15,1,True,shared,True,Mast cells,none,Mast cells,unique,Mast cells,unique,Mast_cells
APOE,16,1,True,shared,True,"Myeloid,Pericytes",none,"Myeloid,Pericytes",high,Macrophage,multi-spec,Macrophage_MARCOpos
CALD1,17,2,True,shared,False,"Pericytes,Smooth muscle",none,"Pericytes,Smooth muscle",multi-spec,Pericyte,high,Muscle_cells
CYB5A,18,2,True,shared,False,"Club,Mucous SMG",none,Club,equirep,AT2,multi-spec,Secretory_club
S100A2,19,2,True,shared,False,"Basal,Lymphocyte,Multiciliated,Fibroblast (collapsed)",none,Basal,multi-spec,Cycling Basal,unique,Basal
CYP2F1,20,2,True,shared,False,none,Club,Club,multi-spec,Secretory,unique,Secretory_club
PBK,21,2,True,shared,False,none,Cycling,Cycling,unique,Cycling Basal,multi-spec,NK_Dividing
CFD,22,2,True,shared,False,Fibroblast (collapsed),none,Fibroblast (collapsed),multi-spec,Macrophage,high,Fibroblast
FHOD3,23,2,True,AW,False,none,Myoepithelial cell,Myoepithelial cell,multi-spec,Multiciliated,multi-spec,Ciliated
